CSDUID,CSD,Period,IndicatorSummaryDescription,AQHI,Health Risk,percent_of_hours
4808011,Red Deer,2011,Air Quality (percent high-quality hours),1,High Quality,5.019
4808011,Red Deer,2012,Air Quality (percent high-quality hours),1,High Quality,8.876000000000001
4808011,Red Deer,2013,Air Quality (percent high-quality hours),1,High Quality,9.738
4808011,Red Deer,2014,Air Quality (percent high-quality hours),1,High Quality,12.925
4808011,Red Deer,2015,Air Quality (percent high-quality hours),1,High Quality,9.625
4808011,Red Deer,2016,Air Quality (percent high-quality hours),1,High Quality,27.628000000000004
4808011,Red Deer,2017,Air Quality (percent high-quality hours),1,High Quality,8.319
4808011,Red Deer,2018,Air Quality (percent high-quality hours),1,High Quality,8.074
4808011,Red Deer,2019,Air Quality (percent high-quality hours),1,High Quality,10.511
4808011,Red Deer,2020,Air Quality (percent high-quality hours),1,High Quality,12.073
4808011,Red Deer,2021,Air Quality (percent high-quality hours),1,High Quality,5.232
4808011,Red Deer,2022,Air Quality (percent high-quality hours),1,High Quality,5.55
4811056,Fort Saskatchewan,2011,Air Quality (percent high-quality hours),1,High Quality,11.225
4811056,Fort Saskatchewan,2012,Air Quality (percent high-quality hours),1,High Quality,14.23
4811056,Fort Saskatchewan,2013,Air Quality (percent high-quality hours),1,High Quality,22.572
4811056,Fort Saskatchewan,2014,Air Quality (percent high-quality hours),1,High Quality,11.276
4811056,Fort Saskatchewan,2015,Air Quality (percent high-quality hours),1,High Quality,16.234
4811056,Fort Saskatchewan,2016,Air Quality (percent high-quality hours),1,High Quality,17.925
4811056,Fort Saskatchewan,2017,Air Quality (percent high-quality hours),1,High Quality,9.180000000000001
4811056,Fort Saskatchewan,2018,Air Quality (percent high-quality hours),1,High Quality,9.754
4811056,Fort Saskatchewan,2019,Air Quality (percent high-quality hours),1,High Quality,14.402000000000001
4811056,Fort Saskatchewan,2020,Air Quality (percent high-quality hours),1,High Quality,18.102999999999998
4811056,Fort Saskatchewan,2021,Air Quality (percent high-quality hours),1,High Quality,5.01
4811056,Fort Saskatchewan,2022,Air Quality (percent high-quality hours),1,High Quality,1.8679999999999999
4811061,Edmonton,2011,Air Quality (percent high-quality hours),1,High Quality,2.911
4811061,Edmonton,2012,Air Quality (percent high-quality hours),1,High Quality,3.852
4811061,Edmonton,2013,Air Quality (percent high-quality hours),1,High Quality,4.167
4811061,Edmonton,2014,Air Quality (percent high-quality hours),1,High Quality,4.784
4811061,Edmonton,2015,Air Quality (percent high-quality hours),1,High Quality,4.213
4811061,Edmonton,2016,Air Quality (percent high-quality hours),1,High Quality,6.558
4811061,Edmonton,2017,Air Quality (percent high-quality hours),1,High Quality,3.128
4811061,Edmonton,2018,Air Quality (percent high-quality hours),1,High Quality,5.172000000000001
4811061,Edmonton,2019,Air Quality (percent high-quality hours),1,High Quality,7.706
4811061,Edmonton,2020,Air Quality (percent high-quality hours),1,High Quality,9.678
4811061,Edmonton,2021,Air Quality (percent high-quality hours),1,High Quality,2.774
4811061,Edmonton,2022,Air Quality (percent high-quality hours),1,High Quality,2.021
4802012,Lethbridge,2011,Air Quality (percent high-quality hours),1,High Quality,2.406
4802012,Lethbridge,2012,Air Quality (percent high-quality hours),1,High Quality,3.033
4802012,Lethbridge,2013,Air Quality (percent high-quality hours),1,High Quality,3.163
4802012,Lethbridge,2014,Air Quality (percent high-quality hours),1,High Quality,6.701
4802012,Lethbridge,2015,Air Quality (percent high-quality hours),1,High Quality,2.858
4802012,Lethbridge,2016,Air Quality (percent high-quality hours),1,High Quality,9.376
4802012,Lethbridge,2017,Air Quality (percent high-quality hours),1,High Quality,3.5479999999999996
4802012,Lethbridge,2018,Air Quality (percent high-quality hours),1,High Quality,5.59
4802012,Lethbridge,2019,Air Quality (percent high-quality hours),1,High Quality,7.872999999999999
4802012,Lethbridge,2020,Air Quality (percent high-quality hours),1,High Quality,3.902
4802012,Lethbridge,2021,Air Quality (percent high-quality hours),1,High Quality,2.343
4802012,Lethbridge,2022,Air Quality (percent high-quality hours),1,High Quality,2.992
4802031,Newell County,2021,Air Quality (percent high-quality hours),1,High Quality,22.366
4802031,Newell County,2022,Air Quality (percent high-quality hours),1,High Quality,15.492
4809010,Caroline,2011,Air Quality (percent high-quality hours),1,High Quality,13.608999999999998
4809010,Caroline,2012,Air Quality (percent high-quality hours),1,High Quality,14.105
4809010,Caroline,2013,Air Quality (percent high-quality hours),1,High Quality,11.869
4809010,Caroline,2014,Air Quality (percent high-quality hours),1,High Quality,15.615000000000002
4809010,Caroline,2015,Air Quality (percent high-quality hours),1,High Quality,12.466000000000001
4809010,Caroline,2016,Air Quality (percent high-quality hours),1,High Quality,21.962
4809010,Caroline,2017,Air Quality (percent high-quality hours),1,High Quality,5.654
4809010,Caroline,2018,Air Quality (percent high-quality hours),1,High Quality,14.371999999999998
4809010,Caroline,2019,Air Quality (percent high-quality hours),1,High Quality,18.145
4809010,Caroline,2020,Air Quality (percent high-quality hours),1,High Quality,19.682
4809010,Caroline,2021,Air Quality (percent high-quality hours),1,High Quality,9.719
4809010,Caroline,2022,Air Quality (percent high-quality hours),1,High Quality,12.416
4806021,Airdrie,2017,Air Quality (percent high-quality hours),1,High Quality,9.214
4806021,Airdrie,2018,Air Quality (percent high-quality hours),1,High Quality,8.23
4806021,Airdrie,2019,Air Quality (percent high-quality hours),1,High Quality,10.213999999999999
4806021,Airdrie,2020,Air Quality (percent high-quality hours),1,High Quality,9.888
4806021,Airdrie,2021,Air Quality (percent high-quality hours),1,High Quality,5.337
4806021,Airdrie,2022,Air Quality (percent high-quality hours),1,High Quality,5.552
4801006,Medicine Hat,2011,Air Quality (percent high-quality hours),1,High Quality,1.366
4801006,Medicine Hat,2012,Air Quality (percent high-quality hours),1,High Quality,1.899
4801006,Medicine Hat,2013,Air Quality (percent high-quality hours),1,High Quality,1.921
4801006,Medicine Hat,2014,Air Quality (percent high-quality hours),1,High Quality,9.3
4801006,Medicine Hat,2015,Air Quality (percent high-quality hours),1,High Quality,7.799
4801006,Medicine Hat,2016,Air Quality (percent high-quality hours),1,High Quality,13.899000000000001
4801006,Medicine Hat,2017,Air Quality (percent high-quality hours),1,High Quality,5.412
4801006,Medicine Hat,2018,Air Quality (percent high-quality hours),1,High Quality,7.027
4801006,Medicine Hat,2019,Air Quality (percent high-quality hours),1,High Quality,5.938000000000001
4801006,Medicine Hat,2020,Air Quality (percent high-quality hours),1,High Quality,4.639
4801006,Medicine Hat,2021,Air Quality (percent high-quality hours),1,High Quality,3.055
4801006,Medicine Hat,2022,Air Quality (percent high-quality hours),1,High Quality,4.458
4802021,"Taber, M.D.",2021,Air Quality (percent high-quality hours),1,High Quality,8.679
4802021,"Taber, M.D.",2022,Air Quality (percent high-quality hours),1,High Quality,7.414
4806001,Foothills County,2019,Air Quality (percent high-quality hours),1,High Quality,8.203000000000001
4806001,Foothills County,2021,Air Quality (percent high-quality hours),1,High Quality,4.552
4806016,Calgary,2011,Air Quality (percent high-quality hours),1,High Quality,1.9290000000000003
4806016,Calgary,2012,Air Quality (percent high-quality hours),1,High Quality,2.21
4806016,Calgary,2013,Air Quality (percent high-quality hours),1,High Quality,2.328
4806016,Calgary,2014,Air Quality (percent high-quality hours),1,High Quality,5.903
4806016,Calgary,2015,Air Quality (percent high-quality hours),1,High Quality,5.731
4806016,Calgary,2016,Air Quality (percent high-quality hours),1,High Quality,11.26
4806016,Calgary,2017,Air Quality (percent high-quality hours),1,High Quality,1.4500000000000002
4806016,Calgary,2018,Air Quality (percent high-quality hours),1,High Quality,4.590000000000001
4806016,Calgary,2019,Air Quality (percent high-quality hours),1,High Quality,3.551
4806016,Calgary,2020,Air Quality (percent high-quality hours),1,High Quality,9.802
4806016,Calgary,2021,Air Quality (percent high-quality hours),1,High Quality,1.4160000000000001
4806016,Calgary,2022,Air Quality (percent high-quality hours),1,High Quality,0.731
4817026,Northern Sunrise County,2019,Air Quality (percent high-quality hours),1,High Quality,51.349000000000004
4817026,Northern Sunrise County,2020,Air Quality (percent high-quality hours),1,High Quality,47.601
4817026,Northern Sunrise County,2021,Air Quality (percent high-quality hours),1,High Quality,36.222
4819054,Spirit River No. 133,2016,Air Quality (percent high-quality hours),1,High Quality,45.633
4819054,Spirit River No. 133,2017,Air Quality (percent high-quality hours),1,High Quality,21.19
4819054,Spirit River No. 133,2018,Air Quality (percent high-quality hours),1,High Quality,20.735999999999997
4819012,Grande Prairie,2011,Air Quality (percent high-quality hours),1,High Quality,12.536
4819012,Grande Prairie,2012,Air Quality (percent high-quality hours),1,High Quality,10.398
4819012,Grande Prairie,2013,Air Quality (percent high-quality hours),1,High Quality,9.626999999999999
4819012,Grande Prairie,2014,Air Quality (percent high-quality hours),1,High Quality,8.518
4819012,Grande Prairie,2015,Air Quality (percent high-quality hours),1,High Quality,9.316
4819012,Grande Prairie,2016,Air Quality (percent high-quality hours),1,High Quality,19.889000000000003
4819012,Grande Prairie,2017,Air Quality (percent high-quality hours),1,High Quality,7.503
4819012,Grande Prairie,2018,Air Quality (percent high-quality hours),1,High Quality,12.407
4819012,Grande Prairie,2019,Air Quality (percent high-quality hours),1,High Quality,15.095
4819012,Grande Prairie,2020,Air Quality (percent high-quality hours),1,High Quality,17.628
4819012,Grande Prairie,2021,Air Quality (percent high-quality hours),1,High Quality,9.614
4819012,Grande Prairie,2022,Air Quality (percent high-quality hours),1,High Quality,7.411
4811032,Brazeau County,2019,Air Quality (percent high-quality hours),1,High Quality,17.657999999999998
4811032,Brazeau County,2020,Air Quality (percent high-quality hours),1,High Quality,11.008999999999999
4811032,Brazeau County,2021,Air Quality (percent high-quality hours),1,High Quality,4.2
4811032,Brazeau County,2022,Air Quality (percent high-quality hours),1,High Quality,3.031
4811034,Parkland County,2011,Air Quality (percent high-quality hours),1,High Quality,16.131999999999998
4811034,Parkland County,2012,Air Quality (percent high-quality hours),1,High Quality,17.247
4811034,Parkland County,2013,Air Quality (percent high-quality hours),1,High Quality,12.845
4811034,Parkland County,2014,Air Quality (percent high-quality hours),1,High Quality,18.282999999999998
4811034,Parkland County,2015,Air Quality (percent high-quality hours),1,High Quality,15.799
4811034,Parkland County,2016,Air Quality (percent high-quality hours),1,High Quality,25.789
4811034,Parkland County,2017,Air Quality (percent high-quality hours),1,High Quality,18.031
4811034,Parkland County,2018,Air Quality (percent high-quality hours),1,High Quality,15.351999999999999
4811034,Parkland County,2019,Air Quality (percent high-quality hours),1,High Quality,21.608
4811034,Parkland County,2020,Air Quality (percent high-quality hours),1,High Quality,24.083
4811034,Parkland County,2021,Air Quality (percent high-quality hours),1,High Quality,11.655999999999999
4811034,Parkland County,2022,Air Quality (percent high-quality hours),1,High Quality,14.722
4811052,Strathcona County,2015,Air Quality (percent high-quality hours),1,High Quality,11.077
4811052,Strathcona County,2016,Air Quality (percent high-quality hours),1,High Quality,17.454
4811052,Strathcona County,2017,Air Quality (percent high-quality hours),1,High Quality,7.176
4811052,Strathcona County,2018,Air Quality (percent high-quality hours),1,High Quality,9.069
4811052,Strathcona County,2019,Air Quality (percent high-quality hours),1,High Quality,10.767
4811052,Strathcona County,2020,Air Quality (percent high-quality hours),1,High Quality,11.848
4811052,Strathcona County,2021,Air Quality (percent high-quality hours),1,High Quality,6.417000000000001
4811052,Strathcona County,2022,Air Quality (percent high-quality hours),1,High Quality,6.4350000000000005
4811059,Sturgeon County,2016,Air Quality (percent high-quality hours),1,High Quality,24.368000000000002
4811059,Sturgeon County,2017,Air Quality (percent high-quality hours),1,High Quality,10.915999999999999
4811059,Sturgeon County,2018,Air Quality (percent high-quality hours),1,High Quality,11.192
4811059,Sturgeon County,2019,Air Quality (percent high-quality hours),1,High Quality,15.328
4811059,Sturgeon County,2020,Air Quality (percent high-quality hours),1,High Quality,22.703
4811059,Sturgeon County,2021,Air Quality (percent high-quality hours),1,High Quality,8.828999999999999
4811059,Sturgeon County,2022,Air Quality (percent high-quality hours),1,High Quality,9.954
4811062,St. Albert,2016,Air Quality (percent high-quality hours),1,High Quality,19.367
4811062,St. Albert,2017,Air Quality (percent high-quality hours),1,High Quality,8.525
4811062,St. Albert,2018,Air Quality (percent high-quality hours),1,High Quality,8.445
4811062,St. Albert,2019,Air Quality (percent high-quality hours),1,High Quality,11.548
4811062,St. Albert,2020,Air Quality (percent high-quality hours),1,High Quality,13.428999999999998
4811062,St. Albert,2021,Air Quality (percent high-quality hours),1,High Quality,4.6129999999999995
4811062,St. Albert,2022,Air Quality (percent high-quality hours),1,High Quality,6.604
4815023,Canmore,2019,Air Quality (percent high-quality hours),1,High Quality,3.798
4815023,Canmore,2020,Air Quality (percent high-quality hours),1,High Quality,0.799
4815023,Canmore,2021,Air Quality (percent high-quality hours),1,High Quality,5.269
4819006,Grande Prairie County No. 1,2011,Air Quality (percent high-quality hours),1,High Quality,12.536
4819006,Grande Prairie County No. 1,2012,Air Quality (percent high-quality hours),1,High Quality,10.398
4819006,Grande Prairie County No. 1,2013,Air Quality (percent high-quality hours),1,High Quality,9.626999999999999
4819006,Grande Prairie County No. 1,2014,Air Quality (percent high-quality hours),1,High Quality,14.716999999999999
4819006,Grande Prairie County No. 1,2015,Air Quality (percent high-quality hours),1,High Quality,13.034
4819006,Grande Prairie County No. 1,2016,Air Quality (percent high-quality hours),1,High Quality,19.889000000000003
4819006,Grande Prairie County No. 1,2017,Air Quality (percent high-quality hours),1,High Quality,7.503
4819006,Grande Prairie County No. 1,2018,Air Quality (percent high-quality hours),1,High Quality,13.883000000000001
4819006,Grande Prairie County No. 1,2019,Air Quality (percent high-quality hours),1,High Quality,21.038999999999998
4819006,Grande Prairie County No. 1,2020,Air Quality (percent high-quality hours),1,High Quality,23.916
4819006,Grande Prairie County No. 1,2021,Air Quality (percent high-quality hours),1,High Quality,14.788
4819006,Grande Prairie County No. 1,2022,Air Quality (percent high-quality hours),1,High Quality,12.112
4812002,Cold Lake,2011,Air Quality (percent high-quality hours),1,High Quality,24.107
4812002,Cold Lake,2012,Air Quality (percent high-quality hours),1,High Quality,15.397
4812002,Cold Lake,2013,Air Quality (percent high-quality hours),1,High Quality,16.133
4812002,Cold Lake,2014,Air Quality (percent high-quality hours),1,High Quality,21.324
4812002,Cold Lake,2015,Air Quality (percent high-quality hours),1,High Quality,24.08
4812002,Cold Lake,2016,Air Quality (percent high-quality hours),1,High Quality,33.688
4812002,Cold Lake,2017,Air Quality (percent high-quality hours),1,High Quality,22.618
4812002,Cold Lake,2018,Air Quality (percent high-quality hours),1,High Quality,22.198
4812002,Cold Lake,2019,Air Quality (percent high-quality hours),1,High Quality,31.747999999999998
4812002,Cold Lake,2020,Air Quality (percent high-quality hours),1,High Quality,26.336
4812002,Cold Lake,2021,Air Quality (percent high-quality hours),1,High Quality,17.305
4812002,Cold Lake,2022,Air Quality (percent high-quality hours),1,High Quality,17.746000000000002
4812004,Bonnyville No. 87,2016,Air Quality (percent high-quality hours),1,High Quality,33.431
4812004,Bonnyville No. 87,2017,Air Quality (percent high-quality hours),1,High Quality,6.67
4812004,Bonnyville No. 87,2018,Air Quality (percent high-quality hours),1,High Quality,19.134
4812004,Bonnyville No. 87,2019,Air Quality (percent high-quality hours),1,High Quality,16.247
4812004,Bonnyville No. 87,2020,Air Quality (percent high-quality hours),1,High Quality,21.428
4812004,Bonnyville No. 87,2021,Air Quality (percent high-quality hours),1,High Quality,17.488999999999997
4812004,Bonnyville No. 87,2022,Air Quality (percent high-quality hours),1,High Quality,18.974
4812014,St. Paul County No. 19,2011,Air Quality (percent high-quality hours),1,High Quality,22.46
4812014,St. Paul County No. 19,2012,Air Quality (percent high-quality hours),1,High Quality,18.393
4812014,St. Paul County No. 19,2013,Air Quality (percent high-quality hours),1,High Quality,10.978
4812014,St. Paul County No. 19,2014,Air Quality (percent high-quality hours),1,High Quality,10.854
4812014,St. Paul County No. 19,2015,Air Quality (percent high-quality hours),1,High Quality,18.276999999999997
4812014,St. Paul County No. 19,2016,Air Quality (percent high-quality hours),1,High Quality,22.549
4812014,St. Paul County No. 19,2017,Air Quality (percent high-quality hours),1,High Quality,18.302
4812014,St. Paul County No. 19,2018,Air Quality (percent high-quality hours),1,High Quality,16.46
4812014,St. Paul County No. 19,2019,Air Quality (percent high-quality hours),1,High Quality,15.033
4812014,St. Paul County No. 19,2020,Air Quality (percent high-quality hours),1,High Quality,20.338
4812014,St. Paul County No. 19,2021,Air Quality (percent high-quality hours),1,High Quality,11.728
4812014,St. Paul County No. 19,2022,Air Quality (percent high-quality hours),1,High Quality,12.373000000000001
4819071,Peace No. 135,2022,Air Quality (percent high-quality hours),1,High Quality,10.904
4816037,Wood Buffalo,2011,Air Quality (percent high-quality hours),1,High Quality,26.516000000000002
4816037,Wood Buffalo,2012,Air Quality (percent high-quality hours),1,High Quality,26.269
4816037,Wood Buffalo,2013,Air Quality (percent high-quality hours),1,High Quality,28.072999999999997
4816037,Wood Buffalo,2014,Air Quality (percent high-quality hours),1,High Quality,25.083
4816037,Wood Buffalo,2015,Air Quality (percent high-quality hours),1,High Quality,24.809
4816037,Wood Buffalo,2016,Air Quality (percent high-quality hours),1,High Quality,24.046
4816037,Wood Buffalo,2017,Air Quality (percent high-quality hours),1,High Quality,18.23
4816037,Wood Buffalo,2018,Air Quality (percent high-quality hours),1,High Quality,18.507
4816037,Wood Buffalo,2019,Air Quality (percent high-quality hours),1,High Quality,17.979
4816037,Wood Buffalo,2020,Air Quality (percent high-quality hours),1,High Quality,21.742
4816037,Wood Buffalo,2021,Air Quality (percent high-quality hours),1,High Quality,20.784
4816037,Wood Buffalo,2022,Air Quality (percent high-quality hours),1,High Quality,20.276
4810066,Bruderheim,2011,Air Quality (percent high-quality hours),1,High Quality,15.478
