longitude_(x),latitude_(y),Date,year,month,day,data_quality,max_temp_(°c),max_temp_flag,min_temp_(°c),min_temp_flag,mean_temp_(°c),mean_temp_flag,heat_deg_days_(°c),heat_deg_days_flag,cool_deg_days_(°c),cool_deg_days_flag,total_rain_(mm),total_rain_flag,total_snow_(cm),total_snow_flag,total_precip_(mm),total_precip_flag,snow_on_grnd_(cm),snow_on_grnd_flag,dir_of_max_gust_(10s_deg),dir_of_max_gust_flag,spd_of_max_gust_(km/h),spd_of_max_gust_flag
-114.01,51.12,2015-01-01,2015,1,1,,1.1,,-6.1,,-2.5,,20.5,,0.0,,0.0,,0.0,T,0.0,T,3.0,,,,<31,
-114.01,51.12,2015-01-02,2015,1,2,,-3.4,,-18.2,,-10.8,,28.8,,0.0,,0.0,,5.0,,4.2,,3.0,,1.0,,52,
-114.01,51.12,2015-01-03,2015,1,3,,-18.1,,-21.1,,-19.6,,37.6,,0.0,,0.0,,1.6,,0.6,,7.0,,,,<31,
-114.01,51.12,2015-01-04,2015,1,4,,-18.4,,-25.3,,-21.9,,39.9,,0.0,,0.0,,2.0,,1.8,,9.0,,17.0,,35,
-114.01,51.12,2015-01-05,2015,1,5,,-13.2,,-20.1,,-16.7,,34.7,,0.0,,0.0,,0.0,T,0.0,T,11.0,,35.0,,44,
-114.01,51.12,2015-01-06,2015,1,6,,-13.5,,-15.6,,-14.6,,32.6,,0.0,,0.6,,11.2,,11.4,,18.0,,,,<31,
-114.01,51.12,2015-01-07,2015,1,7,,8.1,,-15.2,,-3.6,,21.6,,0.0,,0.0,,0.2,,0.2,,22.0,,36.0,,52,
-114.01,51.12,2015-01-08,2015,1,8,,-2.2,,-19.4,,-10.8,,28.8,,0.0,,0.0,,0.8,,0.8,,17.0,,35.0,,67,
-114.01,51.12,2015-01-09,2015,1,9,,-1.8,,-23.8,,-12.8,,30.8,,0.0,,0.0,,0.0,,0.0,,17.0,,,,<31,
-114.01,51.12,2015-01-10,2015,1,10,,-1.5,,-12.2,,-6.9,,24.9,,0.0,,0.0,,5.8,,5.8,,15.0,,,,<31,
